request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15655999.99,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This preserves the required minimum balance of IDR 24,768,300 throughout the 90-day forecast."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This preserves the required minimum balance of ZAR 20,500 throughout the 90-day forecast."
request_28,430.99,affordable_later,wait,2024-06-15:1302.4,2024-06-15,none,"Pay EUR 1,302.4 in full on 2024-06-15. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,22034.4,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request today. Although ZAR 22,034.4 is available today, the full amount cannot be completed safely by 2025-11-23 while keeping the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This satisfies the request by 2026-06-06 while preserving the USD 900 minimum balance."
request_31,4845847.43,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,17375.05,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018 request today. Although ZAR 17,375.05 is available today, the full amount cannot be completed safely by 2025-04-15 while keeping the ZAR 35,700 minimum protected."
request_33,49109.58,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Pay INR 118,000 in full on 2026-02-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This preserves the required minimum balance of INR 138,500 throughout the 90-day forecast."
request_35,49343.55,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
